"id","title","thumbnail_url","organization_name","organization_url","description","topic","year","media","is_featured","featured_order","showcase_home"
"54","Champion | EBL Women Banking Presents Undergrad Startup Challenge 2025","","BRAC University Entrepreneurship Development Forum (BUEDF)","https://www.facebook.com/photo/?fbid=1321578176668992&set=pcb.1321578313335645","Won 1st Place with Team Jhalmuri, securing USD 1,200 for innovative healthcare startup solution, presented by Eastern Bank PLC (EBL) and powered by AMA Coffee.","CS Competitions","2026","","false","","false"
"56","1st Runner Up | Southeast Bank PLC Presents Entrepret Season 3","","NSU YES","https://www.facebook.com/photo/?fbid=1335468458623089&set=pcb.1335470021956266","Awarded USD 1,500, 1 gram Gold, and a Sylhet round-trip ticket at the Grand Finale of Entrepret Season 3, co-sponsored by Gold Kinen and powered by Krishibid Group.","CS Competitions","2026","","false","","false"
"55","2nd Runner Up | MonkMoney Pty LTD Presents Hult Prize at University of Dhaka","","Hult Prize at University of Dhaka","https://www.facebook.com/HultAtDhakaUni/posts/pfbid0oindJiWmP8hZicmkk4SnT9tTZza9xhZYv82jWjLVjSxZdRhBmvucAGUK3ZfBAFYDl","Awarded USD 200 out of 311 teams competing at the Hult Prize Grand Finale at University of Dhaka, powered by HeadStart.","CS Competitions","2026","","false","","false"
"46","2nd Runner Up | Youth Startup Summit 2025","","Startup Bangladesh Limited","https://www.startupbangladesh.vc/","PinkLifeLine secured 2nd Runner-up at Youth Startup Summit 2025, winning BDT 1,00,000 out of 75,000 participants and 120+ startups hosted by Startup Bangladesh Limited at BCC, ICT Tower, Dhaka.","CS Competitions","2025","","false","","false"
"51","Champion | PITCH | PROPEL | PROSPER – A Startup Showcase","","SustainLaunch Labs","https://www.facebook.com/share/p/1BNEmxZ2zq/","Awarded Champion with USD 1,000 grant prize sponsored by Experts Academy Limited.","CS Competitions","2025","","false","","false"
"49","1st Runner Up | Idea Innovation 5.0","","Interactive Cares","","Secured 1st Runner-Up at Idea Innovation 5.0 out of 300 teams and 1,200 participants, winning 40,000 BDT (USD 400).","CS Competitions","2025","","false","","false"
"50","Finalist (Top 21) | Huawei Seeds For The Future Bangladesh 2025","","Huawei","https://www.huawei.com/minisite/seeds-for-the-future/index.html","Selected as one of the 21 finalists from over 3,000 applicants across Bangladesh for Huawei's flagship CSR talent initiative in 5G, AI, and Cloud Computing.","CS Competitions","2025","","false","","false"
"53","Honorable Mention | Blockchain Olympiad Bangladesh 2025","","Blockchain Olympiad Bangladesh","https://bcolbd.org/","Recognized in the Blockchain & AI Category for AI-driven livestock monitoring and decentralized data systems.","CS Competitions","2025","","false","","false"
"61","Champion | Orange Corner Bangladesh presents IDEATION CHALLENGE 3.0","","Orange Corners Bangladesh & YY Ventures","https://www.orangecorners.com/country/bangladesh/","Awarded Champion with BDT 100,000 seed grant out of 236 applications from 700+ participants across Bangladesh for PinkLifeLine.","CS Competitions","2024","","false","","false"
"62","Champion | Luminous Teen Presents THRIVE INNOVATION CHALLENGE 1.0","","Luminous Teen","","Won 1st Place with USD 100 award for social tech innovation.","CS Competitions","2024","","false","","false"
"34","Champion | Humanitarian Project Idea Contest, SympSIST, ICCIT 2023","","IEEE Bangladesh Section","https://www.ieeebd.com/","Awarded 5,000 BDT for 'Murdhwani', a real-time Bangla Sign Language interpreter leveraging deep CNN modules.","CS Competitions","2024","","false","","false"
"37","2nd Runner Up | LEAN SPRINT 2.0","","Association of Industrial & Production Engineers (AIPE), BUET","https://www.facebook.com/aipebuet2023/","Awarded 5,000 BDT as 2nd Runner-Up in IPE Case Competition LeanSprint 2.0 on industrial optimization.","CS Competitions","2024","","false","","false"
"36","Finalist (Top 5) | HULT Prize On Campus 2024","","Hult Prize BUET","https://www.buet.ac.bd/","Achieved HULT Prize On Campus Finalist with Team Morok for eco-friendly biodegradable packaging solutions.","CS Competitions","2024","","false","","false"
"38","Finalist (Top 8) | CREAVENTURE 3.0","","Dhaka University Entrepreneurship Development Club","https://www.linkedin.com/company/duedc","Recognized at the National Idea Pitching Competition CREAVENTURE 3.0 for designing ALEYA, an AI digital healthcare app.","CS Competitions","2024","","false","","false"
"2","Womentor 5.0 | Banglalink STEM Mentorship Program","","Banglalink","https://banglalink.net/en","Selected as one of the top 15 STEM students out of 400+ applicants for Banglalink's flagship 6-month mentorship program under senior digital analytics leadership.","Research & Fellowships","2024","image:/images/fahmida_with_robot.jpeg ; youtube:https://www.youtube.com/live/rANa23Pxxo0?si=TxiPqSQiRc1Gu0Qx","false","","false"
"3","BUET UIHP Cohort-5 Seed Funding","/images/fahmida_with_car.jpeg","Research and Innovation Centre for Science and Engineering (RISE), BUET","https://rise.buet.ac.bd/#/","Selected for BUET UIHP Cohort-5, receiving USD 300 seed funding for AgroLink, an AI-powered livestock healthcare platform.","Research & Fellowships","2025","image:/images/research_1.jpg ; youtube:https://youtu.be/o_Ahgu1-zj4?si=3ZiNwqnoEU-jvaHu","false","","false"
"33","Finalist (Top 5) | Ennovators 7.0","","Banglalink","https://banglalink.net/en","Offered an internship at Banglalink as a Top-5 finalist in Ennovators 7.0 among 35,000 contestants from 153 universities.","CS Competitions","2023","","false","","false"
"32","2nd Runner Up | IT Business Idea Competition, IEEE BUP Branch Fest 2023","","IEEE BUP Student Branch","https://bup.edu.bd/club-home/ieee-bup-student-branch","Awarded BDT 5,000 for 'Shomodristi', an innovative communication prototype for deaf-blind individuals with Bangla NLP.","CS Competitions","2023","","false","","false"
"31","1st Runner Up | Entrepreneurship Idea Contest & Boot-Camp, INDCON, ICCIT 2022","","IEEE Bangladesh Section","https://www.ieeebd.com/","Awarded 2,000 BDT at INDCON 2022 for 'Medisync App', a digital healthcare ecosystem.","CS Competitions","2023","","false","","false"
"63","Dean's Award for Academic Excellence 2022","","Faculty of Engineering & Technology","","Honored with the Dean's Award for outstanding academic standing and technical excellence in Computer Science & Engineering.","Academic Scholarships","2022","","false","","false"
"64","1st Prize | National Essay Competition (Digital Bangladesh Fair-2023)","","ICT Division, Government of Bangladesh","https://ictd.gov.bd/","Champion in the national essay competition organized by the ICT Division during Digital Bangladesh Fair 2023.","Writing Competitions","2023","","false","","false"
"65","4th Place (Dhaka Division 1st) | National Human Rights Essay Competition 2020","","National Human Rights Commission Bangladesh","http://nhrc.org.bd/","Achieved 1st place in Dhaka Division and 4th place nationwide in the National Human Rights Essay Competition.","Writing Competitions","2020","","false","","false"
"66","13th Place | Eastern University Essay Competition 2019","","Eastern University","https://www.easternuni.edu.bd/","Recognized in the top 15 nationwide at the Eastern University National Essay Contest.","Writing Competitions","2019","","false","","false"
"67","Dhaka Divisional Best Student in Language and Literature | Talent Hunt 2018","","Ministry of Education, Bangladesh","https://moedu.gov.bd/","Awarded Dhaka Divisional Best Student in Creative Writing and Literature at the National Creative Talent Hunt.","Writing Competitions","2018","","false","","false"
"23","Champion | Essay Competition on 7 March 2018","","Ideal College","https://idealcollegedhanmondi.edu.bd/","Achieved 1st place in the 7 March Essay Competition organized by Ideal College, Dhaka.","Writing Competitions","2018","","false","","false"
"22","Champion | Essay Competition on International Customs Day 2017","","National Board of Revenue (NBR), Bangladesh Customs","https://nbr.gov.bd/publications/customs/eng","Secured 1st place in the International Customs Day Essay Competition organized by the NBR.","Writing Competitions","2018","","false","","false"
"20","Champion | National Children's Day Essay Competition 2017","/images/undergrad.jpeg","Board of Intermediate and Secondary Education, Dhaka","http://dhakaeducationboard.portal.gov.bd/","Achieved 1st place in the national essay competition and awarded by the Honourable Minister of Education, Bangladesh.","Writing Competitions","2017","image:/images/fahmida_with_robot.jpeg ; youtube:https://youtu.be/o_Ahgu1-zj4?si=3ZiNwqnoEU-jvaHu","false","","false"
"16","1st Runner Up | International Day of Older Persons Essay Competition 2016","https://youtu.be/b4fx6BjWEqk?si=XcWcVMb1B-n4NVVY","Bangladesh Association for the Aged and Institute of Geriatric Medicine","https://baaigm.org.bd/","Secured 2nd place in the national essay competition on geriatric healthcare and social welfare.","Writing Competitions","2016","image:/images/research_4.jpg ; youtube:https://youtu.be/DswOV-CwVmc?si=Nmk72nNq7eqTpoKj","false","","false"
"17","Special Mention | Anti-Corruption Essay Competition 2016","/images/fahmida_with_car.jpeg","Transparency International Bangladesh (TIB)","https://www.ti-bangladesh.org/en","Received Special Mention Award in the national Anti-Corruption Essay Competition by TIB.","Writing Competitions","2016","youtube:https://youtu.be/o_Ahgu1-zj4?si=3ZiNwqnoEU-jvaHu ; image:/images/fahmida_with_car.jpeg","false","","false"
"11","1st Runner Up | National Mourning Day Essay Competition 2015","https://youtu.be/b4fx6BjWEqk?si=XcWcVMb1B-n4NVVY","Nazrul Institute","https://nazrulinstitute.gov.bd/","Secured 2nd place in the National Mourning Day Essay Competition organized by Nazrul Institute.","Writing Competitions","2015","youtube:https://youtu.be/DswOV-CwVmc?si=Nmk72nNq7eqTpoKj ; image:/images/research_4.jpg","false","","false"
"68","2nd Runner Up | National WASH Story Writing Contest 2015","","WaterAid & UNICEF Bangladesh","https://www.wateraid.org/bd/","Won 3rd place in the national story writing contest on water, sanitation, and public hygiene.","Writing Competitions","2015","","false","","false"
"7","2nd Runner Up | National Energy Security Day Essay Competition 2014","/images/fahmida_with_robot.jpeg","Dhaka Power Distribution Company Ltd. (DPDC)","https://dpdc.gov.bd/","Achieved 3rd place in the National Energy Security Day Essay Competition held in Dhaka.","Writing Competitions","2014","youtube:https://youtu.be/0xes6eOvChk?si=i8NVwU5C6QnYGlWz ; image:/images/fahmida_with_robot.jpeg","false","","false"
"10","Champion | Dhaka Imperial College 6th National School Essay Competition 2014","/images/fahmida_with_car.jpeg","Dhaka Imperial College","https://www.imperialcollege.edu.bd/","Champion of the 6th National School Essay Competition, demonstrating exceptional writing skills and analytical rigor.","Writing Competitions","2014","image:/images/fahmida_with_purdue.jpeg ; youtube:https://youtu.be/0xes6eOvChk?si=i8NVwU5C6QnYGlWz","false","","false"
"69","1st Prize (Earth Olympiad) & 2nd Prize (Extempore Speech) | LCGHS Science Fair 2019","","LCGHS Science Club","","Won 1st Prize in Earth Olympiad, 2nd Prize in Extempore Speech, and 3rd Prize in Math Olympiad.","Olympiads","2019","","false","","false"
"70","2nd Prize | Holy Cross College 17th Inter College Science Festival 2018","","Holy Cross College Science Club","https://www.facebook.com/hccsc.bd/","Achieved 2nd Prize in the Chemistry Olympiad at Holy Cross College Inter College Science Festival.","Olympiads","2018","","false","","false"
"18","1st Prize (Speech) & 1st Prize (Nature Olympiad) | 10th ISTARC Festival 2017","/images/fahmida_with_robot.jpeg","IDEAL SCIENCE AND TECHNOLOGY AIMING RESEARCH COUNCIL","https://www.linkedin.com/company/istarc","Achieved 1st Prize in Extempore Speech and 1st Prize in Nature Olympiad at the 10th ISTARC Science and Technology Festival.","Olympiads","2017","image:/images/fahmida_with_robot.jpeg ; youtube:https://www.youtube.com/live/rANa23Pxxo0?si=TxiPqSQiRc1Gu0Qx","false","","false"
"19","1st Prize (Speech) & 2nd Prize (Chemistry) | BISK 1st Inter School Science Festival 2017","https://youtu.be/OBD1d048dl4?si=96USz9tk73FBeR5S","Science Club of DGBHS","https://www.facebook.com/ScienceClubOfDhanmondiBoys/","Achieved 2nd prize in Chemistry Olympiad and 1st prize in Extempore Speech at the BISK Inter School Science Festival.","Olympiads","2017","image:/images/fahmida_with_purdue.jpeg ; image:/images/fahmida_with_car.jpeg","false","","false"
"71","1st Prize | Junior Science Olympiad 2015 (Regional)","","Bangladesh Junior Science Olympiad (BdJSO)","https://bdjso.org/","Secured 1st Prize in the regional round of the Junior Science Olympiad.","Olympiads","2015","","false","","false"
"13","Scholarship Recipient (2015, 2016) | The Scholars Forum","https://youtu.be/OBD1d048dl4?si=96USz9tk73FBeR5S","THE SCHOLARS FORUM","https://thescholarsforumdhaka.org/","Awarded for two consecutive years for exceptional performance in Bangla, English, Mathematics, and General Knowledge.","Academic Scholarships","2016","image:/images/fahmida_with_car.jpeg ; youtube:https://youtu.be/DswOV-CwVmc?si=Nmk72nNq7eqTpoKj","false","","false"
"8","Talent Pool Scholarship (2014, 2015) | Haji Shahab Uddin Memorial Scholarship","/images/undergrad.jpeg","Haji Shahab Uddin Memorial Trust","","Awarded Talent Pool Scholarship in consecutive years for academic distinction in regional examinations.","Academic Scholarships","2015","image:/images/undergrad.jpeg ; image:/images/fahmida_with_purdue.jpeg","false","","false"
"15","Talent Pool Scholarship (2013-2016) | The Students Welfare Foundation","/images/undergrad.jpeg","The Students Welfare Foundation","https://www.swfdhaka.com/","Awarded merit scholarships for four consecutive years recognizing mathematical, language, and analytical excellence.","Academic Scholarships","2016","image:/images/undergrad.jpeg ; image:/images/fahmida_with_car.jpeg","false","","false"
"9","Scholarship Recipient (2013, 2015) | Sher-E-Bangla Memorial Scholarship","https://youtu.be/OBD1d048dl4?si=96USz9tk73FBeR5S","Barisal Bivag Kollyan Songstha, Dhaka","https://www.facebook.com/bbksbd/","Awarded Talent Pool (2013) and General Grade (2015) scholarships presented by the Honourable Minister of Education, Bangladesh.","Academic Scholarships","2015","image:/images/research_1.jpg ; youtube:https://youtu.be/o_Ahgu1-zj4?si=3ZiNwqnoEU-jvaHu","false","","false"
"5","Talent Pool Scholarship Recipient | Nur Mohammad Sir Memorial Scholarship 2013","/images/undergrad.jpeg","Nur Mohammad Sir Memorial Trust","","Awarded Talent Pool Scholarship for exceptional performance in Mathematics, English, and General Knowledge.","Academic Scholarships","2013","image:/images/research_1.jpg ; youtube:https://www.youtube.com/live/rANa23Pxxo0?si=TxiPqSQiRc1Gu0Qx","false","","false"
"6","Talent Pool Scholarship | BICAL Foundation Scholarship 2013","https://youtu.be/b4fx6BjWEqk?si=XcWcVMb1B-n4NVVY","BICAL Foundation","","Awarded for academic excellence and general knowledge in comprehensive regional testing.","Academic Scholarships","2013","image:/images/fahmida_with_car.jpeg ; image:/images/research_4.jpg","false","","false"
"14","Merit Scholarship (2011-2016) | Bangladesh Cadet Academy","/images/undergrad.jpeg","Bangladesh Cadet Academy","https://www.facebook.com/bangladeshcadetacademy1/","Awarded annual academic scholarships continuously from 2011 to 2016 for outstanding performance across school curricula.","Academic Scholarships","2016","image:/images/research_4.jpg ; image:/images/research_1.jpg","false","","false"
